"n","target_r2","achieved_r2_raw","ss","setting","Estimator","Procedure","ModelSpec","mean_estimate","mean_bias","mean_n_obs","sd_estimate","std_bias"
10000,0.8,0.8,11.7191525452236,"setting_one","bart","single_stage","m1",49.9595938784696,-0.0404061215304473,5001.008,0.390263572209925,-0.103535467842006
10000,0.8,0.8,11.7191525452236,"setting_one","correct_model","single_stage","m1",49.9840112251337,-0.0159887748663015,5001.008,0.333561377093293,-0.0479335317704652
10000,0.8,0.8,11.7191525452236,"setting_one","lm_interact","single_stage","m1",49.9659560192821,-0.0340439807178659,5001.008,0.786289377085248,-0.0432970121560919
10000,0.8,0.8,11.7191525452236,"setting_one","lm","single_stage","m1",49.9710486764086,-0.0289513235913564,5001.008,0.521378307664633,-0.0555284390734161
10000,0.8,0.8,11.7191525452236,"setting_one","rf","single_stage","m1",49.4303617596282,-0.56963824037182,5001.008,0.462298898585174,-1.23218602102482
10000,0.8,0.8,11.7191525452236,"setting_one","super","single_stage","m1",49.9049132846175,-0.0950867153825056,5001.008,0.389429343499087,-0.244169364660957
10000,0.8,0.8,11.7191525452236,"setting_one","unadj","single_stage","m1",49.9896514172008,-0.0103485827991865,5001.008,1.05556245145092,-0.0098038564984591
10000,0.8,0.8,11.7191525452236,"setting_one","xgboost","single_stage","m1",49.8569417511356,-0.143058248864365,5001.008,0.459840137572447,-0.311104310336168
200,0.2,0.2,87.7554916787993,"setting_one","bart","single_stage","m1",48.113247688222,-1.88675231177805,99.873,17.2817281514512,-0.109176136509219
200,0.2,0.2,87.7554916787993,"setting_one","correct_model","single_stage","m1",50.8876060710769,0.887606071076926,99.873,18.1585646926013,0.0488808496763282
200,0.2,0.2,87.7554916787993,"setting_one","lm_interact","single_stage","m1",50.7575707973252,0.757570797325221,99.873,20.9337246551918,0.0361890112630929
200,0.2,0.2,87.7554916787993,"setting_one","lm","single_stage","m1",51.0338115827867,1.0338115827867,99.873,18.2330655658361,0.056699822586268
200,0.2,0.2,87.7554916787993,"setting_one","rf","single_stage","m1",28.8934527843351,-21.1065472156649,99.873,15.8255523134647,-1.33370051152698
200,0.2,0.2,87.7554916787993,"setting_one","super","single_stage","m1",47.3974320729582,-2.60256792704178,99.873,18.1986327921848,-0.143008980771315
200,0.2,0.2,87.7554916787993,"setting_one","unadj","single_stage","m1",51.1414681407139,1.14146814071393,99.873,18.8874492586983,0.0604352723906458
200,0.2,0.2,87.7554916787993,"setting_one","xgboost","single_stage","m1",42.20490911041,-7.79509088959003,99.873,20.0268739691819,-0.38923153466614
200,0.4,0.4,49.2792739281051,"setting_one","bart","single_stage","m1",47.8731049503771,-2.12689504962287,100.13,10.1534220159404,-0.209475686747163
200,0.4,0.4,49.2792739281051,"setting_one","correct_model","single_stage","m1",49.9254554816653,-0.074544518334671,100.13,10.0356439491393,-0.00742797559503539
